"GUID","Sub-Services","Description","Name","To Date","From Date","Program Field","Source","Status","Programx","PROPOUx","Processes","Output","Program Field Type","Service Level Description","Service Type"
"SV1",,"A public service provided to vital rights registrants offering registration of a key life event (i.e. birth, death, marriage, etc.).","Vital Rights Registration",,02/22/10,,"KPMG","Active",,"SVOP1",,,,,"Public"
"SV1.1",,"A public service provided to the parents of new born children offering registration of the birth of their child and entitlement to services.","Birth Certification",,02/22/10,,"KPMG","Active",,"SVOP2",,,,,"Public"
"SV1.2",,"A public service provided to families of the deceased offering registration of the death of their family member and removal of entitlement to services.","Death Registration",,02/22/10,,"KPMG","Active",,"SVOP3",,,,,"Public"
"SV1.3",,"A public service provided to engaged couples wishing to register their marriage to each other.","Marriage Licensing",,02/22/10,,"KPMG","Active",,"SVOP4",,,,,"Public"
"SV2",,"A public service provided to families of the deceased offering the sale of a burial plot, burial of the deceased, and perpetual care of the burial site.","Cemetery Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.1",,"A public service provided to families of the deceased offering the sale of a burial plot, and burial of the deceased.","Burial ",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.2",,"A public service provided to families of the deceased that offering perpetual care of the burial site.","Perpetual Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.3",,"A public service provided to families of the deceased offering the sale of a cremation plot, and cremation of the deceased.","Cremation",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3",,"A public service provided to election participants offering registration of voters and election candidates, polling station operations and election result posting.","Election Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3.1",,"A public service provided to voters offering the right to vote in an election.","Voter Registration",,02/22/10,,"KPMG","Active",,"SVOP5",,,,,"Public"
"SV3.2",,"A public service provided to election candidates offering registration for an upcoming election ballot.","Election Candidate Registration",,02/22/10,,"KPMG","Active",,"SVOP6",,,,,"Public"
"SV3.3",,"A public service provided to voters offering a polling station to enter a vote for election candidates.","Polling Station Operations",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3.4",,"An internal service provided to election officers offering training in how to support voters during an election.","Election Officer Training",,02/22/10,,"KPMG","Active",,"SVOP7",,,,,"Internal"
"SV3.5",,"A public service provided to the general public offering notification of election results.","Election Result Posting",,02/22/10,,"KPMG","Active",,"SVOP8",,,,,"Public"
"SV4",,"An internal service provided to the corporation offering policies for designating the purpose and general nature for which land may be used.","Land Use Planning",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.1",,"An internal service provided to the corporation offering design of urban spaces, including streetscapes, public realms and pedestrian spaces around new developments to attract pedestrian traffic.","Urban Design",,02/22/10,,"KPMG","Active",,"SVOP9",,,,,"Internal"
"SV4.2",,"An internal service provided to the corporation offering an Official Plan policy for designating the purpose and general nature for which land may be used.","Official Plan Development",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.3",,"An internal service provided to the corporation offering a Zoning By-Law policy for designating the purpose and general nature for which land may be used.","Zoning By-Law Development",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.4",,"An internal service provided to the corporation in partnership with or collaboration with other government organizations offering cohesion and innovation in land use planning matters.","Inter-governmental Land Use Planning Coordination",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.5",,"An internal service provided to the corporation and heritage property owners offering listing and/or designation of their properties as heritage sites.","Heritage Listing and Designation",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.6",,"An internal service provided to the corporation offering research and insight into the trends in the economy, demographics, and other municipal characteristics to aid in improved land use planning and policy development.","Socio-Economic Surveying & Monitoring",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV5",,"A public service provided to violators of Property Standards By-laws offering compliance with applicable municipal regulations","Property Standards By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP10",,,,,"Public"
"SV5.1",,"A public service provided to violators of the Noise By-law offering compliance with applicable municipal regulations","Noise By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP11",,,,,"Public"
"SV5.2",,"A public service provided to violators of the Noise By-law offering compliance with applicable municipal regulations","Waste & Waste Collection By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV5.3",,"A public service provided to violators of the Litter & Dumping By-law offering compliance with applicable municipal regulations","Litter & Dumping By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP12",,,,,"Public"
"SV5.4",,"A public service provided to violators of the Graffiti By-law offering compliance with applicable municipal regulations","Graffiti By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP13",,,,,"Public"
"SV5.5",,"A public service provided to violators of the Grass & Weed By-law offering compliance with applicable municipal regulations","Grass & Weed By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP14",,,,,"Public"
"SV5.6",,"A public service provided to violators of the Fence By-law offering compliance with applicable municipal regulations","Fence By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP15",,,,,"Public"
"SV5.7",,"A public service provided to violators of the Sign By-law offering compliance with applicable municipal regulations","Sign By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV5.8",,"A public service provided to violators of the Zoning By-law offering compliance with applicable municipal regulations","Zoning By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV5.9",,"A public service provided to violators of the Fireworks By-law offering compliance with applicable municipal regulations","Fireworks By-Law Enforcement",,02/22/10,,"KPMG","Active",,"SVOP16",,,,,"Public"
"SV5.10",,"A public service provided to violators of the Right-of-Way By-law offering compliance with applicable municipal regulations","Right-of-Way By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV5.11",,"A public service provided to violators of the Mobile Home By-law offering compliance with applicable municipal regulations","Mobile Home By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV6",,"A public service provided to property owners and developers offering compliance with applicable planning and development regulations and guidelines prior to applying for a Building Permit.","Development Approval",,02/22/10,,"KPMG","Active","PGSV55",,,,,,"Public"
"SV6.1",,"A public service provided to property owners and developers offering Zoning By-Law compliance prior to applying for a Building Permit.","Rezoning Approval",,02/22/10,,"KPMG","Active","PGSV56",,,,,,"Public"
"SV6.2",,"A public service provided to property owners and developers offering Official Plan compliance prior to applying for a Building Permit.","Official Plan Amendment Approval",,02/22/10,,"KPMG","Active","PGSV57",,,,,,"Public"
"SV6.3",,"A public service provided to property owners and developers offering Site Plan Control compliance prior to applying for a Building Permit.","Site Plan Control Approval",,02/22/10,,"KPMG","Active","PGSV58",,,,,,"Public"
"SV6.4",,"A public service provided to property owners and developers offering Subdivision compliance prior to applying for a Building Permit.","Subdivision Approval",,02/22/10,,"KPMG","Active","PGSV59",,,,,,"Public"
"SV6.5",,"A public service provided to property owners and developers offering Condominium compliance prior to applying for a Building Permit.","Condominium Approval",,02/22/10,,"KPMG","Active","PGSV60",,,,,,"Public"
"SV6.6",,"A public service provided to property owners and developers offering Part Lot Control compliance prior to applying for a Building Permit.","Part Lot Control Approval",,02/22/10,,"KPMG","Active","PGSV61",,,,,,"Public"
"SV6.7",,"A public service provided to property owners and developers offering Committee of Adjustment compliance prior to applying for a Building Permit.","Committee of Adjustment Approval",,02/22/10,,"KPMG","Active","PGSV62",,,,,,"Public"
"SV6.8",,"A public service provided to property owners and developers offering Committee of Adjustment compliance prior to applying for a Building Permit.","Heritage Demolition & Alteration Approval",,02/22/10,,"KPMG","Active","PGSV63",,,,,,"Public"
"SV7",,"A public service provided to property owners and developers offering compliance with applicable building code and regulations.","Building Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.1",,"A public service provided to property owners and developers offering advice on how to comply with applicable zoning and building regulations and/or by-laws.","Preliminary Project Review",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.2",,,"Pre-Application Applicable Law Review",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.3",,"A public service provided to property owners and developers offering compliance with the Building Code for a proposed new building.","Construction Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.4",,"A pubic service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed building demolition.","Demolition Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.5",,"A pubic service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed building alteration.","Alteration Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.6",,"A public service provided to commercial establishments offering compliance with applicable building code and regulations for a proposed sign installation / erection.","Sign Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.7",,"A public service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed change in use to an existing building and/or unit.","Change of Use Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV7.8",,"A public service provided to adjacent property owners offering compliance with applicable building code and regulations for a proposed fence construction.","Fence Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV8",,"A public service provided to property owners and their agents offering information regarding applicable building regulations.","Building Regulation & Construction Advisory",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV8.1",,"A public service provided to property owners and their agents offering information regarding the compliance of a property with applicable building regulations.","Building Record Information Provision",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV8.2",,"A public service provided to current and prospective property owners offering information regarding the compliance of a property with applicable building regulations.","Building Regulation Compliance Notification",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV9",,"A public service provided to property owners offering inspection of their building for compliance with applicable zoning and building regulations.","Building Inspection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV9.1",,"A public service provided to property owners offering inspection on a scheduled basis of their building for compliance with applicable zoning and building regulations.","Scheduled Building Inspection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV9.2",,,"Complaint Initiated Building Inspection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV10",,"A public service provided to property owners and occupants providing a civic address to property for convenient access by service providers.","Civic Addressing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV10.1",,"A public service provided to property owners fronting on a public highway offering identification of the street name, including the renaming of the street.","Street Naming",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV10.2",,"A public service provided to property owners and occupants providing a civic address to property for convenient access by service providers.","Street Numbering",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11",,"A public service provided to property owners offering incentives to develop their land and/or buildings.","Property Development Incentive Funding",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.1",,,"Community Improvement Plan Incentive",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.2",,,"Building Permit Fees / Charges Waiving",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.3",,,"Property Tax Reduction",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.4",,,"Brownfield Redevelopment Incentive Funding",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.5",,,"Business Improvement Area Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV11.6",,,"Heritage Incentive Funding",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12",,"A public service provided to businesses offering acknowledgement that they operate in ﾓMy Municipality.","Business Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.1",,"A public service provided to retail businesses offering licensing of their retail establishment in accordance with applicable licensing regulations / by-laws.","Retail Business Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.2",,"A public service provided to taxi cab companies, taxi drivers and taxi cab occupants offering safe, clean taxi cab operations.","Taxi Cab / Driver Licensing",,02/22/10,,"KPMG","Active","PGSV64",,,,,,"Public"
"SV12.3",,,"Livery Limousine Licensing",,02/22/10,,"KPMG","Active","PGSV65",,,,,,"Public"
"SV12.4",,,"Tow Truck Licensing",,02/22/10,,"KPMG","Active","PGSV66",,,,,,"Public"
"SV12.5",,,"Charitable Gaming Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.6",,,"Liquor Establishment Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.7",,,"Occupational Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.8",,,"Right-of-Way Occupancy Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.9",,,"Clothing Drop Box Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.10",,,"Temporary Sign Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.11",,,"Noise Exemption Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.12",,,"Natural Garden Exemption Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.13",,,"Fence Exemption Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.14",,,"Graffiti Art Mural Exemption Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.15",,,"Fireworks Permission",,02/22/10,,"KPMG","Active","PGSV68",,,,,,"Public"
"SV12.16",,,"Group Home Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV12.17",,,"Rooming House Licensing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV13",,"A public service provided to non-resident businesses offering access to information about ﾓMy Municipalityﾒsﾔ attributes as a business location in an effort to attract those businesses to ﾓMy Municipalityﾔ.","Business Attraction",,02/22/10,,"KPMG","Active","PGSV69",,,,,,"Public"
"SV13.1",,,"Trade Show Promotion and Hosting",,02/22/10,,"KPMG","Active","PGSV70",,,,,,"Public"
"SV13.2",,,"Business Market Research",,02/22/10,,"KPMG","Active","PGSV71",,,,,,"Public"
"SV13.3",,,"International Business Promotion",,02/22/10,,"KPMG","Active","PGSV72",,,,,,"Public"
"SV13.4",,,"Property Sale Negotiation Support",,02/22/10,,"KPMG","Active","PGSV73",,,,,,"Public"
"SV13.5",,,"Prospective Business Support",,02/22/10,,"KPMG","Active","PGSV74",,,,,,"Public"
"SV14",,"A public service provided to existing businesses in ﾓMy Municipalityﾔ offering advice, expertise, information and networks in how to grow their business operations.","Business Retention and Expansion Support",,02/22/10,,"KPMG","Active","PGSV75",,,,,,"Public"
"SV14.1",,,"Trade Show Promotion and Hosting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV14.2",,,"Business Market Research",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV14.3",,,"Small Business Advisory",,02/22/10,,"KPMG","Active","PGSV76",,,,,,"Public"
"SV14.4",,,"Business Consultation and Support",,02/22/10,,"KPMG","Active","PGSV77",,,,,,"Public"
"SV15",,"A public service provided to tourists and tourism operators offering information about the opportunities available in ﾓMy Municipalityﾔ for tourist visits.","Tourism Promotion",,02/22/10,,"KPMG","Active","PGSV78",,,,,,"Public"
"SV15.1",,,"Tourism Promotional Material Development",,02/22/10,,"KPMG","Active","PGSV79",,,,,,"Public"
"SV15.2",,,"Tourism Venue Plan Development",,02/22/10,,"KPMG","Active","PGSV80",,,,,,"Public"
"SV15.3",,,"Tourism Event Bid Presentation",,02/22/10,,"KPMG","Active","PGSV81",,,,,,"Public"
"SV15.4",,,"Tourism Market Research",,02/22/10,,"KPMG","Active","PGSV82",,,,,,"Public"
"SV15.5",,,"Tourism Event Attendance Building",,02/22/10,,"KPMG","Active","PGSV83",,,,,,"Public"
"SV15.6",,,"Tourism Event Familiarization Touring",,02/22/10,,"KPMG","Active","PGSV84",,,,,,"Public"
"SV15.7",,,"Tourism In-Market Reception",,02/22/10,,"KPMG","Active","PGSV85",,,,,,"Public"
"SV15.8",,,"Tourism Marketing and Promotion",,02/22/10,,"KPMG","Active","PGSV86",,,,,,"Public"
"SV15.9",,,"Tourism Site Inspection",,02/22/10,,"KPMG","Active","PGSV87",,,,,,"Public"
"SV16",,"A public service provided to tourists / visitors offering information about the amenities of ﾓMy Municipalityﾔ.","Visitor Information",,02/22/10,,"KPMG","Active","PGSV88",,,,,,"Public"
"SV16.1",,,"Visitor Information Kiosk Advisory",,02/22/10,,"KPMG","Active","PGSV89",,,,,,"Public"
"SV16.2",,,"Visitor Information Telephone Advisory",,02/22/10,,"KPMG","Active","PGSV90",,,,,,"Public"
"SV16.3",,,"Visitor Information eBlast Advisory",,02/22/10,,"KPMG","Active","PGSV91",,,,,,"Public"
"SV16.4",,,"Visitor Information Collateral Development",,02/22/10,,"KPMG","Active","PGSV92",,,,,,"Public"
"SV16.5",,,"Visitor Information Social Media Advisory",,02/22/10,,"KPMG","Active","PGSV93",,,,,,"Public"
"SV16.6",,,"Visitor Information Research",,02/22/10,,"KPMG","Active","PGSV94",,,,,,"Public"
"SV16.7",,,"Visitor Information Distribution",,02/22/10,,"KPMG","Active","PGSV95",,,,,,"Public"
"SV16.8",,,"Visitor Information Web Site Advisory",,02/22/10,,"KPMG","Active","PGSV96",,,,,,"Public"
"SV17",,"A public service provided to commercial establishments offering administrative support for the levy of business improvement funds collected to enhance shopping experiences","Business Improvement Area (BIA) Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV17.1",,,"Business Improvement Area Financial Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV17.2",,,"Business Improvement Area Advisory",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18",,"A public service provided to water account holders and water consumers offering access to safe, clean potable water.","Potable Water Supply",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.1",,,"Potable Water System Planning & Optimization",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.2",,,"Potable Water System Design & Construction",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.3",,,"Source Water Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.4",,,"Source Water Production",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.5",,,"Potable Water Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.6",,,"Potable Water Treatment Plant Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.7",,,"Chemical Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.8",,,"Potable Water Transmission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.9",,,"Potable Water Pump Station & Equipment Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.10",,,"Potable Water Storage & Reservoir Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.11",,,"Potable Water Distribution",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.12",,,"Potable Water Main Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.13",,,"SCADA System Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.14",,,"Potable Water Account Creation and Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.15",,,"Potable Water Meter Installation, Repair and Reading",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.16",,,"Potable Water Compliance Monitoring & Reporting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.17",,,"Potable Water Advisory",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.18",,,"Potable Water Billing & Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.19",,,"Potable Water Utility Locating",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV18.20",,,"Potable Water Infrastructure Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19",,"A public service provided to wastewater account holders and wastewater producers offering safe removal of wastewater from their premises.","Wastewater Collection and Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.1",,,"Wastewater System Planning & Optimization",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.2",,,"Wastewater System Design & Construction",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.3",,,"Wastewater Service Connection Installation & Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.4",,,"Wastewater Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.5",,,"Industrial Wastewater Monitoring",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.6",,,"Sewer Use By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.7",,,"Wastewater Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.8",,,"Wastewater Account Creation and Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.9",,,"Wastewater Billing and Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.10",,,"Wastewater Compliance Monitoring & Reporting ",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.11",,,"Wastewater Sewer Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.12",,,"Chemical Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.13",,,"SCADA system management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.14",,,"Bio-Solids Disposal",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV19.15",,,"Wastewater Infrastructure Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV20",,"A pubic service provided to waste producers offering curb side collection of solid waste, including residual waste, recycled material, organics, etc..","Waste Collection and Disposal",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV20.1",,,"Curbside Solid Waste Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV20.2",,,"Multi-Residential Solid Waste Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV20.3",,,"Litter Collection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV20.4",,,"Household Chemical Waste (drop off)",,02/22/10,,"KPMG","Active",,,,,,,"Public"
