Name,"Is Instance", "Instance Of"
"MRM Resource Type", F,
"Asset - Animal", T, "MRM Resource Type"
"Asset - Equipment", T, "MRM Resource Type"
"Asset - Facility", T, "MRM Resource Type"
"Asset - Infrastructure  - Electricity", T, "MRM Resource Type"
"Asset - Infrastructure  - Other", T, "MRM Resource Type"
"Asset - Infrastructure  - Potable Water", T, "MRM Resource Type"
"Asset - Infrastructure  - Road", T, "MRM Resource Type"
"Asset - Infrastructure  - Storm Water", T, "MRM Resource Type"
"Asset - Infrastructure  - Technology", T, "MRM Resource Type"
"Asset - Infrastructure  - Transit", T, "MRM Resource Type"
"Asset - Infrastructure  - Wastewater", T, "MRM Resource Type"
"Asset - Vehicle", T, "MRM Resource Type"
"Capital", T, "MRM Resource Type"
"Consumable", T, "MRM Resource Type"
"Information", T, "MRM Resource Type"
"Labour", T, "MRM Resource Type"
"Waste", T, "MRM Resource Type"